GoogleMetroArea,trends_geocode,typearea,GeoName,State,zip_code
New Orleans LA,659,DMA,Nashville,KY-TN,37151
San Angelo TX,661,DMA,San Angelo,TX,76940
Abilene-Sweetwater TX,662,DMA,Abilene-Sweetwater,TX,79510
Madison WI,669,DMA,Madison,WI,53570
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,DMA,Ft. Smith-Fayetteville-Springdale-Rogers,AR-OK,74947
Tulsa OK,671,DMA,Tulsa,KS-OK,74576
Columbus-Tupelo-West Point MS,673,DMA,Columbus-Tupelo-West Point-Houston,AL-MS,38871
Peoria-Bloomington IL,675,DMA,Peoria-Bloomington,IL,61333
Duluth MN-Superior WI,676,DMA,Duluth-Superior,MI-MN-WI,55726
Wichita-Hutchinson KS,678,DMA,Wichita-Hutchinson Plus,KS-NE,67057
Des Moines-Ames IA,679,DMA,Des Moines-Ames,IA,50590
Davenport IA-Rock Island-Moline IL,682,DMA,Davenport-Rock Island-Moline,IL-IA,61312
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,DMA,Mobile-Pensacola (Ft. Walton Beach),AL-FL-MS,36558
Minot-Bismarck-Dickinson(Williston) ND,687,DMA,Minot-Bismarck-Dickinson,MT-ND-SD,58641
Huntsville-Decatur (Florence) AL,691,DMA,Huntsville-Decatur (Florence),AL-TN,37328
Beaumont-Port Arthur TX,692,DMA,Beaumont-Port Arthur,TX,77616
Little Rock-Pine Bluff AR,693,DMA,Little Rock-Pine Bluff,AR,71944
Montgomery (Selma) AL,698,DMA,Montgomery-Selma,AL,36435
La Crosse-Eau Claire WI,702,DMA,La Crosse-Eau Claire,MN-WI,54460
Wausau-Rhinelander WI,705,DMA,Wausau-Rhinelander,WI,54466
Tyler-Longview(Lufkin & Nacogdoches) TX,709,DMA,Tyler-Longview (Lufkin & Nacogdoches),TX,75783
Hattiesburg-Laurel MS,710,DMA,Hattiesburg-Laurel,MS,39443
Meridian MS,711,DMA,Meridian,AL-MS,39325
Baton Rouge LA,716,DMA,Baton Rouge,LA-MS,70892
Quincy IL-Hannibal MO-Keokuk IA,717,DMA,Quincy-Hannibal-Keokuk,IL-IA-MO,62341
Jackson MS,718,DMA,"Jackson,  MS",MS,39080
Lincoln & Hastings-Kearney NE,722,DMA,Lincoln & Hastings-Kearney,KS-NE,68330
Fargo-Valley City ND,724,DMA,Fargo-Valley City,MN-ND,56522
Sioux Falls(Mitchell) SD,725,DMA,Sioux Falls (Mitchell),IA-MN-NE-SD,57241
Jonesboro AR,734,DMA,Jonesboro,AR-MO,72434
Bowling Green KY,736,DMA,Bowling Green,KY,42285
Mankato MN,737,DMA,Mankato,IA-MN,56030
Florence-Myrtle Beach SC,740,DMA,North Platte,NE,69123
Anchorage AK,743,DMA,Anchorage,AK,99610
Honolulu HI,744,DMA,Honolulu,HI,96772
Fairbanks AK,745,DMA,Fairbanks,AK,99714
Biloxi-Gulfport MS,746,DMA,Biloxi-Gulfport,MS,39531
Juneau AK,747,DMA,Juneau,AK,99850
Laredo TX,749,DMA,Laredo,TX,78040
Denver CO,751,DMA,Denver,CO-NE-WY,80038
Colorado Springs-Pueblo CO,752,DMA,Colorado Springs-Pueblo,CO,80939
Phoenix AZ,753,DMA,Phoenix (Prescott),AZ,85070
Butte-Bozeman MT,754,DMA,Butte-Bozeman,MT,59771
Great Falls MT,755,DMA,Great Falls,MT,59417
"Billings, MT",756,DMA,Billings,MT-WY,59043
Boise ID,757,DMA,Boise,ID-OR,83628
Idaho Falls-Pocatello ID,758,DMA,Idaho Falls-Pocatello (Jackson),ID-WY,83469
Cheyenne WY-Scottsbluff NE,759,DMA,Cheyenne-Scottsbluff,NE-WY,69346
Twin Falls ID,760,DMA,Twin Falls,ID,83350
Missoula MT,762,DMA,Missoula,MT,59825
Rapid City SD,764,DMA,Rapid City,MT-NE-SD-WY,57776
El Paso TX,765,DMA,El Paso (Las Cruces),NM-TX,79901
Helena MT,766,DMA,Helena,MT,59624
Casper-Riverton WY,767,DMA,Casper-Riverton,WY,82601
Salt Lake City UT,770,DMA,Salt Lake City,ID-NV-UT-WY,83233
Yuma AZ-El Centro CA,771,DMA,Yuma-El Centro,AZ-CA,92233
Grand Junction-Montrose CO,773,DMA,Grand Junction-Montrose,CO,81431
Tucson (Sierra Vista) AZ,789,DMA,Tucson (Sierra Vista),AZ,85602
Albuquerque-Santa Fe NM,790,DMA,Albuquerque-Santa Fe,AZ-CO-NM,87566
